Milliseconds,X,Y,Z
1660,4.257263,9.402451,0.13121033
1670,4.24292,9.431244,0.12646484
1680,4.2094116,9.599152,0.059936523
1690,4.2381287,9.699905,-0.09690857
1700,4.257263,9.75267,-0.19671631
1711,4.2716217,9.632751,-0.13017273
1720,4.257263,9.8294525,-0.10166931
1730,4.1615753,9.627945,-0.016113281
1740,3.955841,9.460037,0.28330994
1751,3.8075256,9.306519,0.42114258
1760,3.7453308,9.162582,0.54945374
1771,3.6687775,9.224945,0.55895996
1780,3.6783447,9.392868,0.39736938
1790,3.5922394,9.148193,0.3165741
1801,3.5491638,9.1098175,0.21200562
1810,3.6113586,9.378464,0.0028839111
1820,3.5491638,9.551178,-0.24899292
1831,3.4008484,9.354477,-0.31077576
1840,3.3817139,9.1145935,-0.17295837
1850,3.3147278,9.210556,-0.03036499
1860,3.3578033,9.157791,0.25479126
1870,3.353012,9.047455,0.38786316
1881,3.3338776,8.941895,0.4449005
1890,3.1664276,8.831543,0.41638184
1900,3.0133057,8.706818,0.39260864
1910,2.9080505,8.730804,0.26905823
1920,2.9463348,8.730804,0.22151184
1931,2.9463348,8.917908,0.32608032
1940,2.855423,8.884323,0.38786316
1950,2.8937225,8.668442,0.46391296
1960,2.9032745,8.759598,0.58747864
1970,2.8602142,8.802765,0.62550354
1980,2.855423,8.807571,0.62550354
1990,2.8410797,8.922699,0.5542145
2000,2.8458557,9.0186615,0.4353943
2010,2.8075867,9.152985,0.37835693
2021,2.721466,9.311295,0.21676636
2030,2.7118988,9.388062,-0.011367798
2040,2.6640472,9.46962,-0.12542725
2051,2.7406006,9.335281,-0.18244934
2060,2.687973,9.378464,-0.106414795
2070,2.5683746,9.440842,0.11695862
2080,2.5396729,9.325699,0.1977539
2090,2.5492249,9.282532,0.031402588
2101,2.5253143,9.287323,-0.07791138
2110,2.482254,9.388062,-0.020874023
2120,2.4439697,9.349686,0.16923523
2130,2.381775,9.43605,0.29756165
2141,2.4057007,9.43605,0.37835693
2150,2.3674164,9.397675,0.25479126
2160,2.3722076,9.344894,0.13121033
2170,2.4009094,9.416855,0.14073181
2181,2.3674164,9.330505,0.03616333
2190,2.3722076,9.210556,0.13121033
2200,2.2908783,9.354477,0.08369446
2210,2.2095337,9.292114,0.026657104
2221,2.0803528,9.234543,0.093185425
2230,2.085144,9.292114,0.07418823
2240,2.0708008,9.272919,0.13121033
2250,2.0660095,9.344894,0.23577881
2260,2.1138458,9.359283,0.25003052
2270,2.1138458,9.412064,0.24526978
2281,2.0995026,9.479218,0.1454773
2290,1.9846649,9.484024,0.05517578
2300,1.8937683,9.493607,-0.020874023
2310,1.7741699,9.479218,-0.11593628
2320,1.7215271,9.613556,-0.33929443
2330,1.6784668,9.570374,-0.2585144
2341,1.6354065,9.4648285,-0.11593628
2350,1.6641083,9.277725,0.15023804
2360,1.6066895,9.066635,0.36408997
2370,1.4870911,8.76918,0.45439148
2380,1.3674774,8.639648,0.38311768
2390,1.1713257,8.490921,0.17399597
2400,0.9464569,8.303833,-0.14918518
2411,0.4919281,8.131119,-0.51039124
2420,0.24794006,7.9344177,-0.75753784
2430,-0.26878357,7.181198,-1.1852875
2440,-1.0103607,5.9818115,-1.9409637
2451,-1.4361877,4.6864624,-2.444748
2460,-2.0725098,3.4438934,-2.5493164
2470,-3.2733917,3.1032715,-1.5464935
2480,-2.6753387,0.032852173,-1.7223358
2490,-2.1873322,-4.078659,0.6540222
2501,-2.2351685,-6.750885,2.1130981
2510,-1.88591,-9.960449,3.9571533
2520,-1.8141327,-11.961014,5.202362
2530,-1.8954773,-10.92955,4.912445
2540,-1.9768219,-11.893845,4.2423096
2551,-2.0294495,-10.152344,1.2861328
2560,-0.86683655,-9.101685,-0.5626831
2570,1.812439,-9.159256,-0.34405518
2580,6.9317474,-8.761063,0.7110443
2590,12.730438,-8.48761,0.73005676
