Milliseconds,X,Y,Z
1,-1.3500519,6.917328,8.847687
51,-1.4648743,8.102325,7.013138
101,-1.5557861,7.022873,6.8135376
151,-1.4266052,4.9071503,9.132843
201,1.2000275,4.859192,7.783081
251,0.8842621,5.3293457,6.604416
301,2.9080505,5.478058,6.6566925
352,3.2046967,4.72966,9.180389
401,4.218994,5.425293,6.205185
451,-0.79507446,7.0324707,6.9656067
501,4.582611,5.4684753,6.6804504
551,4.1998444,6.826172,8.343918
601,2.7597504,6.4519806,7.5026855
651,3.4199982,6.2984467,8.462723
701,3.486969,8.131119,6.5711517
751,3.2621002,7.3203278,4.104492
801,5.525131,8.078339,5.9817963
851,5.4055176,7.747299,5.478012
902,3.8266754,8.55809,2.6358948
951,3.946289,7.5554047,2.6691742
1001,3.644867,8.447754,2.2461853
1051,3.9414978,8.59166,0.26905823
1101,3.7405396,9.349686,0.4353943
1151,3.1855621,9.325699,1.1958313
1201,2.8745728,8.730804,0.3688507
1252,2.88414,8.61087,0.9106598
1301,2.754959,8.418961,1.0389862
1351,2.25737,8.994675,-0.2632599
1401,2.2095337,9.033051,0.0028839111
1451,1.4440308,8.82196,-0.6672363
1501,-0.15396118,5.7035522,-0.7385254
1552,-14.282303,-9.034515,-2.6063538
1601,-6.885605,-26.526382,4.6272736
1651,39.733612,-3.162323,-8.504456
1701,44.20703,10.112503,3.9904327
1751,17.806702,11.048019,-0.95240784
1801,11.519989,7.6465607,-4.4551544
1851,10.5392,3.6885834,0.4876709
1902,8.682831,2.2924957,-0.24424744
1951,8.768967,1.1458893,-0.0066070557
2001,9.046448,2.06221,1.2576141
2051,9.127792,2.7386627,-0.09214783
2101,10.0750885,2.9833527,1.005722
2151,10.634872,4.796814,0.40211487
2201,11.486496,5.3677216,1.5142517
2252,11.496063,6.408798,2.008545
2301,11.539139,6.106537,1.4524689
2351,9.625366,6.475952,1.1720581
2402,7.9747467,6.1785126,2.3412323
2451,5.8935394,7.6321564,11.437927
2501,5.8648224,11.527771,-18.095444
2552,8.247452,1.7695618,-25.281525
2601,-2.3356476,-14.839539,-27.729187
2652,3.4726257,-37.080994,28.742538
2701,13.074921,-10.761627,38.76126
2751,46.316956,10.0933075,18.433899
2801,31.657532,18.167572,-18.832108
2851,13.079697,4.508972,-29.815613
2901,0.9416809,5.583603,-34.245163
2951,6.9891663,-14.163086,-19.392914
3001,35.418076,-5.177292,30.548569
3051,21.184479,-0.8498993,25.45842
3102,7.1996613,4.979126,1.0247192
3151,6.955658,5.0894623,-3.528366
3201,7.0657196,5.1182556,-5.6385803
3251,8.888565,4.940735,-4.9351654
3301,9.256958,5.5164337,-2.791687
3351,9.194763,4.7488403,-0.88586426
3401,8.314438,5.2238007,-0.7337799
3451,8.491455,4.3314514,0.725296
3501,8.213959,4.561737,-0.54841614
3551,8.1996,5.022293,-0.3678131
3601,8.180481,4.9503326,-0.32029724
3651,8.395767,5.382126,-0.33929443
3702,8.725891,5.636383,0.35935974
3752,10.969772,7.281952,2.4077606
3801,13.151474,11.307083,4.5654907
3851,15.706345,13.916946,6.7802734
3901,14.821228,10.20845,6.3192444
3952,2.5061646,3.4055176,-26.636047
4001,-5.115387,-8.794632,-29.616013
4052,-2.6896973,-29.510452,0.8013458
4101,13.754303,-13.299545,46.227783
4151,35.33676,11.028839,22.972748
4201,22.021744,15.821579,-18.57071
4251,2.4009094,12.117874,-39.601456
4301,-4.0341187,-4.8606567,-25.832855
4351,3.0420227,-16.993652,3.7337646
4402,21.538528,-12.344833,31.65596
4451,39.92978,3.2424164,24.507874
4501,26.38034,11.561356,-10.857056
4551,15.66806,10.20845,-19.697098
4601,4.147217,2.388443,-9.459747
4651,5.6782227,1.1938629,-0.035125732
4702,6.649475,2.532364,0.50668335
4751,8.5728,4.64328,1.6473389
4801,9.921997,4.0292053,0.84887695
4852,9.524902,5.636383,-1.1330109
4901,8.644562,4.892761,1.2956238
4952,8.510605,5.5884094,-1.1330109
5001,9.103867,4.931137,0.725296
5051,8.491455,5.8090973,-0.17295837
5101,8.931625,5.31015,0.6587677
5151,9.840652,7.809662,0.57321167
5201,12.496002,11.206345,-1.190033
5252,16.093872,16.968185,-2.2213745
5301,10.682724,11.911575,-6.1471252
5351,6.281067,5.5164337,-3.2099457
5401,0.85554504,-2.8792725,-0.15394592
5451,-2.4026184,-25.01036,38.960876
5501,6.290634,-15.727097,19.089798
5552,19.76352,11.292694,-30.352676
5601,14.448044,18.383484,-39.8676
5652,5.482071,2.493988,-25.590454
5701,20.074493,-0.42771912,21.214249
5752,34.049744,13.54274,33.704376
5801,20.323288,19.985855,2.4172668
5851,13.534225,7.9200134,-7.872345
5901,5.8313446,-2.8840485,-6.978836
5951,-1.684967,-19.473984,-2.554062
6002,-11.674805,-35.761658,11.742081
6051,-3.9719238,-21.949509,4.018936
6101,54.426514,24.413986,-7.5681763
6151,23.95465,19.299805,-3.6186676
6201,11.448227,13.06778,-1.8744202
6252,8.759384,6.5718994,-0.03036499
6301,7.687683,5.09906,0.17875671
6351,8.080002,4.4513855,-0.23474121
6401,8.869431,3.8181152,0.6207428
6451,8.376633,5.31015,-0.6054535
6501,8.338364,5.108658,0.88690186
6552,8.180481,5.5260468,-0.22999573
6601,9.094299,5.5020447,0.354599
6651,8.510605,5.175812,-0.28227234
6701,8.290512,4.8543854,0.6872864
6751,8.113495,5.44928,-0.51989746
6801,9.137344,4.9934998,0.6825409
6851,8.917267,5.9962006,-0.22999573
6902,9.587097,6.2840424,0.21200562
6951,10.24733,8.121521,0.825119
7001,12.060638,9.541595,1.8754578
7051,12.242447,11.239914,3.6292114
7101,9.654083,8.534103,5.287903
7151,6.7690735,3.1320648,11.1432495
7201,-3.9862518,7.219574,-30.661606
7252,-0.7424469,-3.6948395,-27.230133
7301,7.1470337,-10.47377,-6.22316
7351,27.007095,-6.578171,58.908005
7401,12.850052,5.756317,24.56491
7451,-4.986206,-0.19264221,-14.9206085
7501,-16.990265,-18.07309,-16.10405
7552,5.5442657,-5.652252,5.577835
7601,34.49469,22.643692,1.766159
7651,7.481964,15.452164,-16.92627
7701,-5.2684937,4.2786713,-26.393661
7751,0.58283997,-8.468399,-13.7894745
7801,15.988617,-12.047379,14.05191
7852,28.490265,-7.3457794,24.583923
7901,31.423111,-5.182083,19.907242
7952,21.56723,4.5569305,-7.002594
8001,16.089096,4.283478,-17.506088
8052,8.611069,6.4567566,-16.132568
8102,8.2043915,2.873001,-0.1586914
8152,8.410126,1.2274323,0.32133484
8201,9.462692,0.9108124,3.296524
8252,8.730682,2.5659637,0.2785492
8301,10.175583,2.4748077,2.1178436
8351,9.500961,3.8565063,-0.80506897
8401,10.055969,2.8921967,0.6112366
8452,9.218689,3.2759857,-0.7480469
8502,9.343094,2.7770386,0.078933716
8552,9.414856,3.0073242,-0.46287537
8601,9.510544,3.1032715,0.12646484
8651,9.2330475,3.29039,-0.42485046
8701,10.166,3.6262054,0.09794617
8752,10.0750885,4.1827393,-0.11117554
8801,11.390808,5.161438,-0.26802063
8851,14.32843,8.394974,0.7110443
8902,15.280533,10.054916,-0.6482239
8952,13.773453,11.546967,-0.30603027
9002,10.601379,8.006363,-0.79556274
9052,7.816864,4.4513855,0.88690186
9101,2.817154,0.99235535,-0.9333801
9151,-2.316513,-6.630951,-0.91438293
9202,-10.909302,-26.39685,4.408661
9251,-10.770554,-33.78987,6.785019
9301,38.681046,-11.14064,-10.909332
9351,49.776077,15.437775,-6.845764
9401,23.11261,11.743668,0.3355713
9452,13.902618,11.489395,-4.146225
9501,10.0703125,2.6810913,0.35935974
9551,7.7020416,2.3980408,-1.2470703
9602,8.682831,1.0883026,-0.22523499
9651,9.189972,2.100586,-1.1852875
9701,9.735397,2.3452759,0.2785492
9751,9.424408,3.3863373,-0.74328613
9801,9.6732025,2.8394165,-0.34881592
9852,9.453125,2.820221,-0.2775116
9901,9.323944,3.0457153,-0.47714233
9951,8.802444,2.7962341,-0.91438293
10001,10.0703125,2.441208,0.7490692
10051,8.864639,4.393814,-2.2071228
10102,9.405289,2.7050781,0.22151184
10151,9.931564,4.48497,-1.1567688
10201,12.17067,4.9743195,0.83462524
10252,14.232742,7.9344177,-0.50090027
10301,15.510178,9.714294,1.5998077
10352,14.237534,10.601837,5.30217
10401,12.132385,9.690308,4.793625
10451,8.17569,6.5335236,-22.947952
10501,-3.991043,-12.445572,-18.14772
10551,-5.775635,-30.268463,-4.7308044
10602,4.3290253,-25.76358,22.777893
10651,36.20273,-8.22374,39.98271
10701,40.97278,12.026718,0.8631439
10751,25.471313,14.799698,-27.539078
10801,9.553589,-1.0801849,-23.480255
10851,-1.5988464,1.0499268,-36.127228
10902,2.08992,-12.36882,-26.759628
10951,27.499893,-6.3095093,11.471176
11001,32.38478,-3.699646,33.3907
11051,9.955475,1.4097443,9.009277
11101,6.5920563,3.2664032,1.4572296
11151,7.0322113,4.2259064,-3.0340881
11202,7.9316864,4.7248535,-3.7184906
11251,8.352722,5.6939545,-1.9884949
11301,8.99382,4.69606,-0.03036499
11351,8.390991,5.108658,-0.35832214
11401,8.711548,4.7776184,0.078933716
11451,8.821594,4.9743195,0.017150879
11501,8.515381,4.5809174,0.045669556
11551,8.395767,4.849594,-0.4343567
11601,8.400558,4.8160095,-0.18721008
11652,8.649353,5.1422424,-0.41534424
11701,8.922058,5.214203,-0.058898926
11751,9.74498,6.1881104,0.6492615
11801,13.1658325,7.9056244,2.7689667
11851,14.491104,12.588028,1.4667358
11901,13.132324,14.022491,5.758438
11951,11.69223,9.709503,10.254501
12002,1.6928253,0.11920166,-8.304855
12051,-1.7615051,-8.482803,-31.184402
12101,-3.3308105,-5.3739777,-28.299515
12151,4.1233063,-25.087128,8.819183
12201,15.749405,-15.256943,44.255386
12251,32.2556,11.73407,25.068695
12302,24.878052,22.259888,-15.923447
12351,3.28125,8.749985,-39.273514
