Milliseconds,X,Y,Z
1651,4.108444,7.941086,3.6934052
1661,4.0270996,8.080215,3.3844757
1672,3.9792633,8.257721,3.2514038
1681,3.9888306,8.468811,3.0898132
1691,4.041458,8.699097,3.0708008
1701,3.9840393,8.65593,3.0708008
1711,4.1180115,8.550369,3.1420898
1721,4.1514893,8.4640045,3.2799072
1731,4.170639,8.564774,3.3987274
1741,4.1180115,8.540787,3.441513
1752,4.11322,8.545578,3.3179474
1761,3.9983978,8.574356,3.1468506
1771,3.907486,8.62233,2.937729
1781,3.8500824,8.679916,2.6620636
1791,3.7735138,8.718292,2.5812836
1801,3.7878723,8.742279,2.681076
1811,3.8644257,8.723099,2.8379211
1821,3.9888306,8.627136,3.0612946
1832,4.1562805,8.502411,3.2894287
1841,4.3332977,8.449631,3.4462738
1851,4.314163,8.468811,3.5175476
1861,4.3332977,8.492798,3.1991272
1871,4.1802063,8.511993,2.8901978
1881,4.103653,8.58876,2.6430664
1891,4.0940857,8.540787,2.4671936
1902,4.103653,8.593536,2.3436432
1911,4.1467133,8.631943,2.3626556
1921,4.199341,8.699097,2.3626556
1931,4.4146423,8.574356,2.6383057
1941,4.4624786,8.53598,2.7380981
1951,4.543808,8.507187,2.8426666
1961,4.500763,8.603149,2.861679
1971,4.433777,8.641525,2.8949432
1982,4.3428802,8.679916,2.7286072
1991,4.2567444,8.703888,2.6145477
2001,4.0175323,8.699097,2.414917
2011,4.0558167,8.5551605,2.1915588
2021,4.046234,8.564774,2.186798
2031,4.0845184,8.444824,2.3531342
2042,4.1323547,8.545578,2.571762
2051,4.141922,8.468811,2.7000885
2061,4.314163,7.7299957,2.9282227
2071,4.1754303,8.689499,3.1088257
2081,4.275894,8.377655,2.970993
2091,4.3476562,8.267319,2.8474274
2101,4.2615356,8.228928,2.7095947
2111,4.1802063,8.296097,2.6050415
2122,3.9888306,9.126083,2.5242462
2131,4.046234,8.679916,2.571762
2141,4.247177,8.41124,2.6477966
2151,4.161072,8.291306,2.7000885
2161,4.103653,8.603149,2.8141632
2171,4.012741,8.641525,2.7998962
2181,3.9409943,8.521591,2.9044647
2192,3.811798,8.564774,2.8331604
2201,3.7161102,8.511993,2.719101
2211,3.701767,8.497604,2.6905823
2221,3.7208862,8.339279,2.7618866
2231,3.7735138,8.449631,2.8806915
2241,3.8213806,8.41124,3.0137634
2251,3.8883667,8.320084,3.118332
2261,3.9170532,8.348877,3.1278229
2272,3.9266357,8.353668,3.0708008
2281,3.9314117,8.372864,2.9900055
2291,3.8979187,8.420837,2.719101
2301,3.9409943,8.4640045,2.6002808
2311,3.9649048,8.454422,2.500473
2321,3.9936218,8.473618,2.5099792
2331,4.046234,8.617538,2.6192932
2342,4.170639,8.521591,2.9187012
2351,4.1849823,8.511993,2.9852448
2361,4.2950287,8.593536,3.1420898
2371,4.2854614,8.58876,3.1848755
2381,4.3619995,8.62233,3.0993042
2391,4.3428802,8.636719,3.0232697
2401,4.208908,8.684692,2.9329681
2411,4.2232666,8.631943,2.8331604
2422,4.1849823,8.641525,2.8426666
2431,4.165848,8.694305,2.8189087
2441,4.1849823,8.603149,2.8474274
2451,4.141922,8.531174,2.9662476
2461,4.1371307,8.449631,3.0612946
2471,4.074936,8.425629,3.0280304
2481,3.9888306,8.3680725,3.056549
2491,3.9026947,8.30571,2.9329681
2502,3.8979187,8.286514,2.8664398
2511,3.8787842,8.339279,2.7761383
2521,3.8548584,8.387253,2.719101
2531,3.8883667,8.444824,2.8094025
2541,3.8883667,8.488007,2.8474274
2551,3.9649048,8.468811,2.9804993
2561,4.0558167,8.416046,3.0470428
2571,4.074936,8.3680725,3.094574
2582,4.141922,8.363266,3.1325836
2591,4.0845184,8.344086,3.1135712
2601,4.046234,8.334473,3.0327911
2611,4.031891,8.420837,2.899704
2621,3.9936218,8.521591,2.7095947
2631,3.9122772,8.53598,2.5907745
2641,3.9218445,8.449631,2.4862213
2652,3.9122772,8.449631,2.6145477
2661,3.9505463,8.454422,2.733368
2671,3.9888306,8.440033,2.766632
2681,4.0892944,8.449631,2.8236694
2691,4.1275635,8.4592285,2.852188
2701,4.103653,8.444824,2.899704
2711,4.141922,8.363266,2.970993
2721,4.141922,8.348877,3.0327911
2732,4.170639,8.339279,2.9995117
2741,4.1897583,8.243332,3.056549
2751,4.2136993,8.286514,3.0708008
2761,4.237625,8.358475,3.1801147
2771,4.237625,8.358475,3.2799072
2781,4.2902527,8.454422,3.3797302
2792,4.309372,8.41124,3.3749695
2801,4.304596,8.32489,3.3131866
2811,4.3811493,8.27211,3.2941742
2821,4.3619995,8.296097,3.3369598
2831,4.3237305,8.382462,3.2466583
2841,4.338089,8.440033,3.1325836
2851,4.371567,8.444824,3.042282
2862,4.3428802,8.444824,3.056549
2871,4.366791,8.440033,3.0612946
2881,4.338089,8.32489,3.1230927
2891,4.314163,8.27211,3.1135712
2901,4.2519684,8.25293,3.1753693
2911,4.199341,8.214554,3.1991272
2922,4.232834,8.200165,3.1658478
2931,4.2280426,8.27211,3.1848755
2941,4.28067,8.2769165,3.1278229
2951,4.3907166,8.392059,3.080307
2961,4.395508,8.468811,2.9804993
2971,4.4529114,8.593536,2.913971
2982,4.543808,8.593536,2.7000885
2991,4.5485992,8.531174,2.7476196
3001,4.481613,8.516785,2.852188
3011,4.4624786,8.502411,2.9614868
3021,4.395508,8.425629,3.0090027
3031,4.2854614,8.339279,3.2181244
3041,4.247177,8.516785,3.1896057
3051,4.141922,8.396851,3.1943665
3062,4.1180115,8.41124,3.0517883
3071,4.1275635,8.420837,2.9044647
3081,4.0988617,8.545578,2.7095947
3091,4.103653,8.703888,2.5907745
3101,4.036667,8.684692,2.414917
3111,4.11322,8.660706,2.357895
3121,4.1562805,8.651123,2.2675934
3132,4.2136993,8.67511,2.3674011
3141,4.161072,8.699097,2.4244385
3151,4.1945496,8.58876,2.414917
3161,4.1754303,8.545578,2.310379
3171,4.103653,8.516785,2.2438354
3182,3.9888306,8.449631,2.1677856
3191,3.8883667,8.540787,2.1202545
3201,3.8644257,8.598343,2.1202545
3211,3.8979187,8.583954,2.1677856
3222,3.9218445,8.540787,2.1915588
3232,3.9649048,8.708694,2.3151245
3241,4.0175323,8.819031,2.4196777
3252,4.0510254,8.809448,2.4386902
3262,4.0175323,8.74707,2.334137
3271,3.974472,8.67511,2.0774841
3281,4.0270996,8.703888,1.9206543
3292,3.9505463,8.723099,1.8065796
3301,3.8357239,8.641525,1.8160858
3311,3.8883667,8.660706,1.825592
3321,3.9457703,8.65593,1.9396515
3331,4.031891,8.771057,2.067978
3341,3.9936218,8.881393,2.1725311
3351,4.1275635,8.8142395,2.1725311
3362,4.103653,8.79985,2.186798
3371,4.11322,8.785461,2.2058105
3381,4.141922,8.780655,2.248581
3391,4.0845184,8.713486,2.139267
3401,4.07016,8.737473,2.1060028
3411,4.0223083,8.847824,2.0347137
3422,4.041458,8.828629,1.9871826
3431,4.00795,8.823837,1.8873749
3442,4.00795,8.910187,1.8208313
3451,4.074936,8.881393,1.8018341
3462,4.036667,8.9053955,1.825592
3471,4.0558167,8.929382,1.8350983
3481,4.11322,8.847824,1.7923279
3491,4.1228027,8.843018,1.7923279
3501,4.1467133,8.838226,1.8208313
3512,4.1945496,8.828629,1.934906
3521,4.208908,8.828629,2.0157013
3531,4.1228027,8.900589,1.9919281
3542,4.0940857,8.948563,1.8683624
3551,3.9983978,8.991745,1.7875671
3562,3.9888306,9.001343,1.7875671
3571,3.9553223,9.049332,1.7305298
3581,3.936203,9.02533,1.6735077
3591,3.936203,8.972549,1.6497498
3601,3.9026947,8.895798,1.6972656
3612,3.9314117,8.804642,1.7590485
3621,3.8835754,8.876602,1.7875671
3632,3.8931274,8.857407,1.8350983
3641,3.807022,8.819031,1.7923279
3652,3.6826172,8.847824,1.6544952
3661,3.634781,8.795044,1.5499268
3671,3.6252136,8.809448,1.3740845
3681,3.5773773,8.900589,1.2647858
3691,3.5630188,8.967758,1.2409973
3702,3.5677948,8.934174,1.2647858
3711,3.67305,8.852631,1.3550873
3721,3.7448273,8.900589,1.4929047
3732,3.7591858,8.958176,1.6544952
3742,3.778305,9.039719,1.7923279
3752,3.7208862,9.0780945,1.7923279
3761,3.6921997,8.93898,1.6925049
3771,3.6874084,8.9053955,1.5451813
3781,3.6299896,8.862213,1.4596252
3791,3.6299896,8.914993,1.4216003
3802,3.67305,8.910187,1.3883362
3811,3.701767,8.924576,1.4453888
3821,3.6826172,8.929382,1.4786377
3832,3.7448273,8.929382,1.5974579
3841,3.8022308,8.948563,1.630722
3851,3.8261566,8.9965515,1.7020264
3862,3.8500824,9.092499,1.6782532
3871,3.8883667,9.073303,1.630722
3881,3.8979187,9.044525,1.5356903
3891,4.0223083,8.991745,1.5119019
3901,4.208908,8.962967,1.5546875
3911,4.309372,8.9965515,1.668747
3922,4.443344,9.106888,1.8018341
3931,4.5294647,9.241226,1.949173
3941,4.515106,9.457108,1.9681702
3951,4.4911804,9.586639,1.76857
3961,4.500763,9.591446,1.5451813
3971,4.405075,9.586639,1.3788452
3981,4.3811493,9.596252,1.2409973
3991,4.567734,9.519485,1.1079407
4001,4.629944,9.57225,1.2077332
4012,4.701706,9.653809,1.3170471
4021,4.744766,9.773743,1.3930969
4031,4.672989,9.826523,1.4073486
4041,4.5246887,9.78334,1.2932892
4051,4.304596,9.821716,1.1412048
4061,3.8309326,9.812134,0.7609863
4072,3.5773773,9.533859,0.56137085
4081,3.103714,8.977356,0.09559631
4092,2.5582886,8.627136,-0.2370758
4102,2.008072,7.523712,-0.8882141
4111,1.2664948,5.4751434,-1.3824921
4121,-0.23579407,3.0044098,-1.586853
4132,-2.3505096,-0.5313873,-1.8387451
4141,-4.7140045,-3.2467957,-2.043106
4152,-7.7186127,-9.488419,-1.2303925
4161,-8.187485,-17.116516,3.8787537
4171,-8.976913,-18.123993,9.211304
4181,-9.818954,-18.311096,13.5933075
4192,-9.4457855,-18.205551,13.636078
4201,-6.230652,-19.625626,9.743607
4211,0.24264526,-19.73117,5.7180634
4221,11.615158,-12.093475,3.793213
4231,20.07399,-1.7403717,1.3455658
4241,25.633469,8.809448,-6.966919
4251,27.992188,17.061218,-14.937225
4261,29.65715,18.29419,-16.695724
4272,31.188156,16.533493,-11.985794
4281,32.207245,16.130493,-1.311203
4292,30.666656,16.264832,4.4205627
4302,27.250595,16.658234,5.950943
4311,24.183792,16.024963,4.914856
4322,20.944748,15.070251,3.4320068
4331,17.586105,14.009979,2.4006805
4342,14.806366,12.983307,1.0081177
4352,11.878311,11.50087,-0.051742554
4361,10.978836,10.709259,-0.60780334
4372,10.151138,8.972549,-1.0545502
4381,9.639206,7.878708,-0.6885834
4391,9.256454,7.091919,-0.008956909
4401,9.022018,6.6649323,0.93208313
4411,8.959824,6.4442444,1.6212311
4421,8.596207,6.2379456,2.1345215
4432,8.232605,5.9453125,2.3531342
4441,8.017288,5.6190796,2.4006805
4451,8.017288,5.4223785,2.2913513
4462,7.9263916,5.4127655,1.8350983
4471,7.9933777,5.3552094,1.3645782
4481,8.089066,5.417572,0.9891205
4491,8.179977,5.614273,0.8465271
4502,8.428741,5.6862335,0.7657318
4511,8.471817,5.6622467,0.6374054
4521,8.620132,5.6574554,0.3570099
4531,8.691895,5.7006226,0.09559631
4542,8.744522,5.7534027,-0.018463135
4551,8.763672,5.6862335,-0.09925842
4561,8.778015,5.6622467,0.06707764
4571,8.816299,5.5375214,0.34274292
4582,8.825867,5.5422974,0.5281067
4592,8.79715,5.532715,0.56137085
4602,8.8545685,5.4511566,0.61364746
4611,8.931122,5.42717,0.5898895
4621,8.864136,5.441559,0.6469116
4631,8.864136,5.3168335,0.5185852
4642,8.787582,5.163315,0.41403198
4651,8.667969,5.1105347,0.34274292
4662,8.538788,5.105728,0.34750366
4671,8.481369,5.163315,0.28570557
4681,8.390472,5.1393127,0.42355347
4692,8.337845,5.07695,0.5518646
4701,8.352203,5.009781,0.6088867
4712,8.361771,5.038559,0.6611786
4721,8.395264,5.0529633,0.7657318
4731,8.404831,5.163315,0.8322754
4742,8.447891,5.2784424,0.85128784
4751,8.467041,5.379196,0.7847595
4761,8.519653,5.5135345,0.6849365
4771,8.586639,5.532715,0.6611786
4782,8.586639,5.5279236,0.703949
4791,8.524445,5.5519104,0.73246765
4802,8.495728,5.6334686,0.7514801
4812,8.414413,5.7006226,0.73721313
4821,8.414413,5.628662,0.703949
4831,8.342636,5.6430664,0.7087097
4842,8.203888,5.6958313,0.6279144
4851,8.127335,5.705429,0.58036804
4862,8.036438,5.820572,0.6279144
4872,7.9168243,5.84935,0.67066956
4882,7.864197,5.782181,0.7134552
4891,7.8498383,5.758194,0.6374054
4902,7.7924194,5.7534027,0.64216614
4911,7.8498383,5.6862335,0.7562256
4922,7.8163605,5.6622467,0.9368286
4931,7.778061,5.7342224,0.87979126
4942,7.782852,5.7773895,0.82276917
4951,7.7111053,5.9597015,0.7514801
4962,7.7493744,6.228363,0.694458
4972,7.7206573,6.25235,0.7419739
4981,7.735016,6.1995697,0.77523804
4992,7.782852,6.1420135,0.85128784
5001,7.7972107,6.084427,0.95584106
5012,7.7111053,6.0940247,1.0223846
5021,7.6249695,6.1324005,1.0223846
5031,7.50058,6.161194,1.0081177
5042,7.510147,6.122818,1.0318909
5051,7.438385,6.1324005,1.0603943
5061,7.3283386,6.2091675,1.0081177
5071,7.3522644,6.2235565,1.0081177
5081,7.4288025,6.319519,0.88931274
5092,7.380966,6.449051,0.92733765
5101,7.31398,6.592972,0.94633484
5111,7.371399,6.5737762,0.99861145
5121,7.376175,6.540207,1.0556488
5131,7.3666077,6.578583,1.0509033
5143,7.380966,6.621765,1.1412048
5152,7.242218,6.645752,1.1412048
5161,7.208725,6.684128,1.0128784
5171,7.1895905,6.7321014,0.94633484
5181,7.1273804,6.832855,0.91781616
5191,7.0508423,6.86644,0.96536255
5201,6.940811,6.8376465,1.0318909
5212,7.036499,6.8136597,1.0603943
5222,6.9886475,6.775284,1.1649628
5231,6.9216614,6.8136597,1.1839752
5242,6.912094,6.8136597,1.174469
5252,6.8977356,6.8280487,1.1554565
5262,6.845108,6.895218,1.088913
5271,6.8211975,6.962387,1.0318909
5282,6.845108,7.0439453,1.0413971
5292,6.8211975,7.063141,1.1031799
5302,6.7637787,7.09671,1.088913
5312,6.701584,7.144699,1.0461426
5321,6.6824493,7.173477,1.065155
5331,6.6872253,7.173477,1.0603943
5342,6.6250305,7.1015167,1.1031799
5351,6.5915527,7.0871277,1.0984192
5361,6.3858185,7.1255035,0.99861145
5372,6.2853394,7.120697,0.9748535
5381,6.227936,7.168686,0.8940582
5391,6.1944275,7.1782684,0.90830994
5401,6.098755,7.240631,0.86553955
5412,6.0221863,7.317398,0.83703613
5421,5.9552155,7.3845673,0.73721313
5431,6.041336,7.3414,0.7514801
5442,6.098755,7.355774,0.8465271
5452,6.079605,7.3989563,0.94158936
5461,6.0891724,7.3605804,0.99861145
5471,6.103531,7.379776,0.9606018
5481,6.070038,7.437332,0.94633484
5492,6.003067,7.4277496,0.9130707
5502,6.0556946,7.3605804,0.96536255
5511,6.0221863,7.3749695,1.0081177
5521,6.012619,7.432556,1.0318909
5531,6.0461273,7.461319,1.0176392
5541,6.0269775,7.5476837,0.94633484
5551,5.907364,7.7012024,0.6754303
5562,5.8595276,7.69162,0.50909424
5571,5.8308105,7.634033,0.41403198
5581,5.7590637,7.5428925,0.47583008
5591,5.773407,7.528488,0.5423584
5601,5.7207794,7.461319,0.7609863
5611,5.7638397,7.422943,0.90830994
5621,5.835602,7.403763,1.0556488
5631,5.7877655,7.470932,1.1697235
5642,5.7255554,7.552475,1.1364441
5652,5.677719,7.586075,1.0366364
5662,5.6442413,7.5716705,0.82276917
5671,5.668152,7.576477,0.6564331
5681,5.6250916,7.586075,0.56137085
5691,5.5246277,7.634033,0.5471039
5701,5.5294037,7.562088,0.48532104
5712,5.5628967,7.600464,0.52334595
5722,5.538971,7.6100616,0.61364746
5732,5.601166,7.586075,0.71821594
5741,5.605957,7.576477,0.8560333
5751,5.5628967,7.586075,0.90356445
5761,5.5198364,7.590851,0.87506104
5773,5.515045,7.634033,0.7087097
5782,5.5294037,7.5956573,0.6184082
5791,5.6585693,7.706009,0.5518646
5801,5.6633606,8.003464,0.47106934
5812,5.605957,8.200165,0.48057556
5821,5.6155243,8.013046,0.513855
5831,5.711212,7.7635803,0.6849365
5842,5.701645,7.605255,0.8703003
5852,5.735138,7.576477,0.94633484
5861,5.7303467,7.576477,1.1412048
5871,5.6920776,7.600464,1.1649628
5881,5.715988,7.7012024,1.0699158
5892,5.6537933,7.797165,0.9700928
5901,5.6490173,7.893112,0.8322754
