Milliseconds,X,Y,Z
2,1.9102478,6.7812347,7.6864014
12,1.5466309,6.6708984,6.954468
23,1.3743896,6.5941467,6.5599976
32,1.2691345,6.440628,6.483963
42,1.1734619,6.4118347,6.4411774
52,1.1256104,6.3830414,6.3983917
62,1.049057,6.407028,6.365143
72,1.1112518,6.4502106,6.46019
82,1.245224,6.531769,6.707321
92,1.3121948,6.58934,6.9639893
102,1.4653015,6.5941467,7.1493225
113,1.4987946,6.7092743,7.192108
122,1.5035706,6.757248,7.0637817
132,1.4557343,6.7812347,6.85466
142,1.3791809,6.8532104,6.555237
152,1.2978516,6.910782,6.336624
162,1.2212982,6.992325,6.179779
172,1.1925812,6.9875336,5.965912
182,1.2069397,7.006729,5.7995605
192,1.1925812,7.0115204,5.7377777
202,1.3313293,6.8675995,5.7377777
212,1.450943,6.8004303,5.9706573
223,1.5897064,6.7524567,6.3413696
232,1.6614532,6.8771973,6.792877
242,1.6710205,7.0259247,7.558075
252,1.8241425,6.680496,7.8384857
262,1.9485321,6.522171,7.9715576
272,1.8337097,6.771637,8.114136
282,1.852829,6.805237,8.114136
292,1.848053,6.819626,7.962036
302,1.6327515,6.7860413,7.472519
312,1.4940033,6.896393,6.750107
323,1.3696136,7.0163116,6.1037292
332,1.2356567,6.944351,5.7758026
342,1.1256104,6.901169,5.604706
352,1.2404327,6.7380676,5.5239105
362,1.2404327,6.627716,5.8756104
372,1.0921173,6.704468,5.965912
382,1.5035706,6.613327,5.9468994
392,1.5083618,6.392639,6.3176117
402,1.618393,6.584549,6.5837555
412,1.7858429,6.9491577,6.445938
422,1.87677,6.9827423,6.674057
433,2.245163,6.88678,6.9259644
442,3.0250092,6.037613,7.800461
452,2.0250702,7.510483,7.0637817
462,2.556137,7.059494,7.0637817
472,2.2355957,7.3665466,6.6692963
482,2.446106,7.4289093,6.6170197
492,2.3647614,7.328171,6.902191
502,2.245163,7.3185577,7.0447693
512,2.1590424,7.3425446,6.830902
522,1.9485321,7.5056763,6.1987915
532,1.6997375,7.476883,5.229233
543,1.685379,6.9827423,4.972595
552,1.5131378,6.824417,4.1836395
562,1.5418396,6.4502106,3.803421
572,1.8384705,5.9896393,3.9745178
582,2.3360596,5.792938,4.8347626
592,2.5417786,6.258316,6.1987915
602,3.4077759,6.479004,9.972443
612,2.9053955,7.241806,9.3593445
622,3.388626,7.1698456,7.957306
632,3.2307434,7.165039,6.6692963
642,2.9771729,7.6447906,5.8708496
653,2.8240814,7.755142,4.830017
662,2.7618713,7.6304016,4.5448456
672,2.814499,7.2849884,4.4402924
682,2.8719177,6.6181183,4.445053
692,2.680542,6.7236786,4.706436
702,2.7618713,6.2678986,4.7634735
712,3.044159,5.908081,4.744461
722,2.8432007,6.4741974,5.0296173
732,3.0919952,6.3590546,4.720688
742,2.9436798,7.0786896,4.611389
753,3.087204,7.241806,4.5210876
762,3.0728607,7.1554565,4.734955
772,3.2642365,7.356949,4.8965607
782,2.9771729,7.870285,5.1389313
792,3.0680847,7.9038544,5.8993683
802,3.4699707,7.3665466,6.241562
812,3.450821,7.4433136,6.289093
822,3.7570343,7.5344543,6.30336
832,3.8335724,7.817505,6.179779
842,4.211548,7.803116,6.146515
852,4.4699097,7.726364,6.3081055
