Milliseconds,X,Y,Z
1,4.4194183,7.9026947,3.5746002
11,4.28067,7.835541,3.4225006
21,4.208908,7.787552,3.3892365
31,4.1897583,7.667618,3.5080566
41,4.141922,7.7203827,3.5175476
51,4.1897583,7.706009,3.6126099
62,4.2280426,7.6724243,3.8074799
71,4.318939,7.5716705,4.2684784
81,4.400284,7.605255,4.4015656
91,4.438553,7.4517365,4.4490814
101,4.371567,7.470932,4.3017426
111,4.481613,7.4517365,4.206711
121,4.476837,7.461319,4.068863
131,4.567734,7.509308,3.9975739
141,4.610794,7.6772156,4.0498657
151,4.606003,8.051422,3.9072876
161,4.6203613,7.7539825,3.7361755
171,4.601227,7.7299957,3.6886597
182,4.515106,7.8691254,3.5840912
191,4.4911804,7.782776,3.5128021
201,4.4959717,7.7299957,3.5365753
211,4.500763,7.6100616,3.622116
221,4.500763,7.6724243,3.6743927
231,4.5294647,7.5812683,3.6981506
241,4.5773163,7.523712,3.6981506
251,4.51033,7.226242,3.550827
261,4.405075,7.28862,3.332199
271,4.4481354,7.274231,3.042282
282,4.409851,7.221451,2.8236694
291,4.443344,7.1782684,2.7713776
301,4.591675,7.091919,2.8189087
311,4.7351837,7.2166595,3.0898132
321,4.84523,7.2454376,3.2894287
331,4.9648438,7.2550354,3.4462738
341,4.993561,7.207062,3.0470428
351,4.974411,6.9431915,2.6145477
361,4.993561,6.7800903,2.0774841
371,5.079666,6.8616333,1.9919281
381,5.141861,7.13031,1.9206543
391,5.299759,7.370178,2.129776
402,5.534195,7.605255,2.4481964
411,5.7638397,7.552475,2.8806915
421,6.031769,7.135086,3.427246
431,6.1178894,6.554596,3.802719
441,5.945648,6.2571564,3.9262848
451,5.668152,6.3818817,3.5793304
461,5.591614,6.4922333,3.1896057
471,5.538971,6.5833893,3.0137634
481,5.5533295,7.07753,2.6335602
491,5.548538,7.456543,2.5194855
501,5.601166,7.65802,2.2390747
511,5.601166,7.69162,1.9776764
522,5.548538,7.696411,1.6544952
531,5.548538,7.696411,1.6544952
541,5.5533295,7.5956573,1.1506958
551,5.538971,7.6772156,1.0128784
561,5.5246277,7.893112,0.95584106
571,5.591614,8.123398,1.1031799
581,5.7542725,8.30571,1.3455658
591,5.912155,8.511993,1.630722
601,6.0269775,8.497604,1.8113251
611,6.079605,8.377655,2.0252075
621,6.1131134,8.30571,2.053711
632,6.175308,8.262527,1.9158936
641,6.170517,8.233734,1.7875671
651,6.2183533,8.104202,1.6782532
661,6.20401,8.0946045,1.4026031
671,6.170517,8.214554,1.2029877
681,6.1896515,8.334473,0.78948975
691,6.3188324,8.300903,0.68969727
701,6.4480133,8.344086,0.73246765
711,6.462372,8.30571,0.97961426
721,6.5867615,8.214554,1.3835907
731,6.639389,8.06102,1.6212311
741,6.6872253,8.032242,1.7162781
751,6.696808,7.9123077,1.76857
762,6.735077,7.825943,1.7923279
771,6.8164062,7.749176,1.8731079
781,6.806839,7.7683716,1.8778687
791,6.6824493,7.849945,1.7115326
801,6.5532684,8.032242,1.4786377
811,6.471939,8.113785,1.2409973
821,6.443222,8.046631,1.088913
831,6.3618774,8.06102,1.079422
841,6.314041,8.104202,1.088913
851,6.266205,8.003464,1.2315063
861,6.314041,7.7635803,1.5309296
871,6.30925,7.5956573,1.7305298
881,6.3283997,7.4661255,1.8731079
892,6.242279,7.485306,2.0014343
901,6.1513824,7.509308,1.8873749
911,6.208786,7.523712,1.7305298
921,6.314041,7.5572815,1.7495422
931,6.3666687,7.562088,1.8968811
941,6.433655,7.5716705,2.0252075
951,6.4575806,7.69162,2.0157013
962,6.4575806,7.69162,1.9966888
971,6.4001617,7.7108,1.8968811
981,6.3571167,7.706009,1.8018341
993,6.2805634,7.65802,1.7923279
1001,6.2614136,7.614853,1.8683624
1011,6.1992188,7.5668793,1.934906
1021,6.175308,7.5428925,1.9396515
1031,6.1178894,7.552475,1.9158936
1042,6.0556946,7.5668793,1.8778687
1051,6.031769,7.6244507,1.8541107
1062,6.003067,7.586075,1.8588715
1072,5.979141,7.552475,1.8921356
1082,5.9217224,7.5189056,1.9253998
1091,5.8595276,7.49971,1.8731079
1102,5.7925415,7.437332,1.7875671
1111,5.7925415,7.408554,1.6925049
1121,5.701645,7.4757233,1.6069641
1132,5.6872864,7.5572815,1.5356903
1141,5.7542725,7.5428925,1.5214233
1151,5.7207794,7.509308,1.5404205
1162,5.7542725,7.4901123,1.6117249
1171,5.7638397,7.4901123,1.668747
1182,5.7638397,7.514099,1.7020264
1191,5.797333,7.4805145,1.6354828
1201,5.773407,7.523712,1.6354828
1211,5.7925415,7.4661255,1.6782532
1221,5.8308105,7.4661255,1.6972656
1231,5.9217224,7.461319,1.8018341
1242,5.945648,7.586075,1.9063873
1251,5.9265137,7.734787,1.8921356
1262,5.8930054,7.854721,1.7495422
1272,5.8977966,7.893112,1.6830139
1281,5.902588,7.888321,1.6022034
1292,5.9599915,7.8595276,1.4881439
1302,5.9647827,7.725189,1.4786377
1311,5.9217224,7.600464,1.450119
1321,5.9552155,7.4901123,1.3930969
1332,5.912155,7.389374,1.4358673
1342,5.873886,7.3078003,1.4453888
1351,5.869095,7.3365936,1.464386
1361,5.873886,7.221451,1.4548798
1371,5.8069,7.2694244,1.3027954
1381,5.8069,7.331787,1.1031799
1391,5.701645,7.4517365,0.82751465
1402,5.7829742,7.4757233,0.58036804
1412,5.797333,7.461319,0.5376129
1422,5.773407,7.5332947,0.594635
1431,5.936081,7.437332,0.7419739
1441,5.9934998,7.3749695,0.83703613
1451,6.074814,7.3365936,0.8940582
1462,6.0939636,7.2934113,1.1174316
1471,6.0556946,7.331787,1.1506958
1481,5.9265137,7.6388397,0.93208313
1491,5.950424,7.7395935,0.7562256
1501,6.031769,7.797165,0.65167236
1511,6.041336,7.787552,0.7657318
1521,5.931305,7.8307343,0.79901123
1532,5.9265137,7.849945,0.87506104
1541,5.8882446,7.7779694,0.92733765
1551,5.8499603,7.801956,0.89881897
1561,5.8595276,7.7779694,0.90830994
1571,5.8595276,7.797165,1.1031799
1581,5.8977966,7.8115387,1.1316986
1593,5.950424,7.8307343,1.2362518
1601,6.0269775,7.849945,1.3265533
1611,6.18486,7.8307343,1.3455658
1621,6.2614136,7.744385,1.3503265
1632,6.2135773,7.6388397,1.3693237
1641,6.1896515,7.5428925,1.3550873
1651,6.0556946,7.4517365,1.1554565
1661,5.983917,7.418152,0.9606018
1671,5.9934998,7.4277496,0.67066956
1682,6.074814,7.5045013,0.3712616
1693,6.137024,7.523712,0.26194763
1701,6.266205,7.5428925,0.23342896
1712,6.3618774,7.5812683,0.42355347
1722,6.4097443,7.5668793,0.68019104
1731,6.534134,7.5572815,0.9510956
1742,6.5915527,7.4805145,1.3550873
1752,6.5532684,7.461319,1.5214233
1761,6.4527893,7.509308,1.5927124
1771,6.294922,7.562088,1.3598175
1781,6.208786,7.576477,1.0841675
1791,6.098755,7.7203827,0.7419739
1802,6.031769,7.8691254,0.47583008
1811,6.0269775,7.9506836,0.35224915
1821,6.0269775,7.9938507,0.2524414
1832,6.041336,8.065826,0.2381897
1842,6.0939636,7.9506836,0.34274292
1852,6.1274414,7.835541,0.44255066
1861,6.299698,7.7779694,0.49482727
1871,6.1274414,7.888321,0.7229614
1882,5.672928,8.085007,0.49006653
1891,6.6489563,9.020538,0.49482727
1902,6.1274414,8.751862,-0.24183655
1912,6.098755,8.3680725,-0.52700806
1921,5.9887085,8.483215,-0.75512695
1931,5.8977966,8.598343,-0.6030426
1941,5.9217224,8.559967,0.33325195
1952,5.9934998,8.550369,0.83703613
1961,5.9982758,8.363266,1.1506958
1972,6.1896515,7.629242,1.5356903
1981,6.036545,7.183075,1.934906
1992,5.548538,7.1638794,0.8703003
2002,5.247116,7.13031,0.11462402
2011,4.9265747,7.379776,-0.536499
2021,4.539032,7.8451385,-0.73612976
2031,4.562958,8.017853,-0.9214783
2042,4.84523,7.979477,-0.63630676
2053,5.2184143,7.7635803,-0.05647278
2062,5.5533295,7.7395935,0.399765
2072,5.8930054,8.022644,0.71821594
2081,6.1322327,8.281708,0.594635
2092,6.1657257,8.483215,0.21916199
2102,6.1418,8.4640045,-0.1847992
2112,5.979141,8.545578,-0.33688354
2122,5.7638397,8.660706,-0.28936768
2132,5.7925415,8.550369,-0.26559448
2142,5.5676727,8.4592285,-0.42243958
2151,5.3523865,8.406448,-0.96424866
2162,5.266266,8.32489,-1.3444672
2171,5.538971,8.166565,-1.2113953
2181,5.7590637,8.070618,-0.6933441
2192,5.979141,7.864319,-0.2370758
2201,6.1609497,7.6628265,-0.13728333
2212,5.97435,7.840332,0.19540405
2222,5.6537933,8.224136,0.2524414
2231,5.347595,8.358475,0.19540405
2241,5.4289246,8.329697,0.18115234
2251,5.5628967,8.1857605,0.5661316
2262,5.6203003,7.9938507,0.28096008
2272,5.548538,7.945877,-0.013717651
2281,5.7542725,7.797165,-0.3226471
2292,5.8212585,7.667618,-0.21807861
2301,5.902588,7.744385,-0.2228241
2311,6.0509033,7.590851,-0.085006714
2321,6.137024,7.6484375,0.4615631
2332,5.8786774,8.003464,0.694458
2342,5.8212585,8.032242,1.1602173
2352,5.7542725,8.204941,1.1459503
2362,5.6537933,8.075409,0.5708771
2371,5.677719,7.8595276,0.20492554
2381,5.6872864,7.6772156,-0.2228241
2391,5.797333,7.355774,-0.1847992
2401,6.070038,6.900009,-0.04698181
2412,6.074814,6.765686,0.081344604
2421,5.9552155,6.8376465,0.29522705
2432,5.749481,7.082321,0.2381897
2442,5.6155243,7.456543,-0.1847992
2451,5.395447,7.849945,-0.10876465
2461,5.371521,8.32489,-0.30838013
2472,5.4959106,8.74707,-0.3939209
2482,5.696869,9.15007,-0.45570374
2491,5.7590637,8.804642,-0.25134277
2501,5.778183,7.6484375,0.100357056
2511,5.735138,7.3605804,0.22392273
2521,5.6537933,7.801956,0.4473114
2531,5.605957,8.468811,0.6611786
2542,5.7638397,8.1857605,0.41879272
2551,5.7877655,7.9746704,0.029067993
2561,5.7303467,7.984253,-0.3416443
2571,5.931305,7.945877,-0.53175354
2581,5.9552155,8.046631,-0.47946167
2592,5.950424,8.152176,-0.2038269
2601,6.098755,8.070618,-0.15153503
2612,6.170517,8.334473,0.06707764
2621,6.065262,8.751862,0.1621399
2631,6.012619,8.795044,0.07658386
2641,6.007843,8.473618,-0.25134277
2651,6.074814,8.25293,-0.47946167
2662,5.979141,8.065826,-0.59828186
2671,5.936081,8.051422,-0.54125977
2681,5.8499603,7.945877,-0.43670654
2691,5.768631,7.854721,-0.37016296
2702,5.6490173,7.9218903,-0.4319458
2712,5.505478,7.979477,-0.4699707
2721,5.481552,7.9362946,-0.33688354
2731,5.3188934,7.979477,-0.51750183
2741,5.4576416,8.037033,-0.47946167
2752,5.3236694,8.070618,-0.57928467
2762,5.2901917,8.118591,-0.5602722
2772,5.3667297,7.9938507,-0.64582825
2781,5.371521,7.9506836,-0.74087524
2791,5.3188934,7.801956,-0.7598877
2802,5.275833,7.835541,-0.6125488
2811,5.2949677,7.8211517,-0.52700806
2821,5.266266,7.8739166,-0.49848938
2832,5.3188934,7.9890594,-0.38916016
2842,5.2806244,8.06102,-0.34640503
2851,5.1944885,8.113785,-0.33688354
2861,5.2136383,8.056229,-0.3416443
2871,5.2854004,8.003464,-0.38442993
2881,5.400223,7.9746704,-0.52700806
2892,5.3810883,7.9650726,-0.46522522
2901,5.400223,7.998657,-0.44145203
2911,5.481552,8.089813,-0.42720032
2922,5.538971,8.257721,-0.3416443
2932,5.5868225,8.320084,-0.31788635
2941,5.605957,8.377655,-0.3511505
2952,5.6250916,8.372864,-0.3939209
2961,5.5820312,8.348877,-0.4699707
2971,5.591614,8.25293,-0.49372864
2981,5.505478,8.180954,-0.59355164
2991,5.481552,8.104202,-0.6030426
3001,5.405014,8.017853,-0.54125977
3012,5.3332367,8.085007,-0.50798035
3021,5.2854004,8.080215,-0.45570374
3032,5.314102,8.027435,-0.47946167
3042,5.2806244,8.017853,-0.4319458
3051,5.2232056,8.089813,-0.38442993
3062,5.271042,8.166565,-0.4129486
3071,5.314102,8.147385,-0.51750183
3082,5.304535,8.161774,-0.63630676
3091,5.2566833,8.113785,-0.6315613
3101,5.309311,8.051422,-0.60780334
3112,5.4145813,7.931488,-0.5127411
3121,5.472,7.955475,-0.66482544
3131,5.3906555,8.089813,-0.83592224
3142,5.2901917,8.051422,-0.7979126
3152,5.242325,8.123398,-0.68385315
3162,5.227997,8.190552,-0.84542847
3171,5.275833,8.25293,-1.311203
3181,5.433716,7.9746704,-1.3919983
3192,5.5533295,7.907501,-1.2636719
3201,5.5581055,8.209747,-0.7646332
3211,5.907364,8.828629,-0.2038269
3221,5.7255554,9.332382,-0.36540222
3231,5.3667297,9.246017,-0.28936768
3241,5.371521,8.780655,0.59939575
3252,5.701645,7.979477,-0.10876465
3261,5.7542725,8.209747,-0.4842224
3271,5.835602,8.449631,-1.296936
3281,6.031769,8.603149,-1.40625
3292,5.433716,7.3461914,-1.3682404
3301,5.5820312,7.600464,-1.5440826
3311,5.4959106,8.291306,-1.491806
3322,5.505478,8.396851,-1.2541656
3331,5.505478,8.358475,-0.9214783
3342,5.605957,8.238541,-0.3226471
3352,5.8212585,7.979477,-0.18005371
3361,5.8308105,7.7779694,0.36650085
3372,5.7542725,7.734787,0.5281067
3381,5.773407,7.69162,0.5328522
3392,5.6490173,7.7156067,0.28570557
3402,5.5963745,7.864319,0.13362122
3412,5.472,8.013046,0.052825928
3422,5.3858643,8.104202,-0.008956909
3431,5.2566833,8.137772,-0.24658203
3441,5.137085,8.0946045,-0.33213806
3452,5.070099,7.969864,-0.3226471
3462,5.0844574,7.969864,-0.260849
3471,5.247116,7.9026947,-0.085006714
3481,5.3188934,7.878708,0.07183838
3491,5.3619385,7.9362946,0.17640686
3501,5.4145813,7.9218903,0.18589783
3512,5.510269,8.017853,-0.004196167
3521,5.481552,8.075409,-0.0897522
3531,5.500702,8.080215,-0.10876465
3541,5.538971,8.109009,-0.19432068
3551,5.438492,8.286514,-0.26559448
3561,5.4241333,8.286514,-0.28936768
3572,5.3906555,8.257721,-0.30838013
3581,5.395447,8.281708,-0.355896
